$ ./sendfile -r amber.clear.rice.edu:18004 -f data/data1M.txt
the total_file_length is 1288890
the datasize is 1400
the total count is 921
[SEND SUCCESS] Send the filepathf/filename successfully
[RECEVE ACK SUCCESS] Receive the ack number of filepath/filename successfully
-------- [BEGIN TRANSFERRING] --------
[SEND DATA] 460600 (1400) Seq(330)
[SEND DATA] 462000 (1400) Seq(331)
[SEND DATA] 463400 (1400) Seq(332)
[SEND DATA] 464800 (1400) Seq(333)
[SEND DATA] 466200 (1400) Seq(334)
[SEND DATA] 467600 (1400) Seq(335)
[SEND DATA] 469000 (1400) Seq(336)
[SEND DATA] 470400 (1400) Seq(337)
[SEND DATA] 471800 (1400) Seq(338)
[SEND DATA] 473200 (1400) Seq(339)
[SEND DATA] 474600 (1400) Seq(340)
[SEND DATA] 476000 (1400) Seq(341)
[SEND DATA] 477400 (1400) Seq(342)
[SEND DATA] 478800 (1400) Seq(343)
[SEND DATA] 480200 (1400) Seq(344)
[SEND DATA] 481600 (1400) Seq(345)
[SEND DATA] 483000 (1400) Seq(346)
[SEND DATA] 484400 (1400) Seq(347)
[SEND DATA] 485800 (1400) Seq(348)
[SEND DATA] 487200 (1400) Seq(349)
[SEND DATA] 488600 (1400) Seq(350)
[SEND DATA] 490000 (1400) Seq(351)
[SEND DATA] 491400 (1400) Seq(352)
[SEND DATA] 492800 (1400) Seq(353)
[SEND DATA] 494200 (1400) Seq(354)
[SEND DATA] 495600 (1400) Seq(355)
[SEND DATA] 497000 (1400) Seq(356)
[SEND DATA] 498400 (1400) Seq(357)
[SEND DATA] 499800 (1400) Seq(358)
[SEND DATA] 501200 (1400) Seq(359)
[SEND DATA] 502600 (1400) Seq(360)
[SEND DATA] 504000 (1400) Seq(361)
[SEND DATA] 505400 (1400) Seq(362)
[SEND DATA] 506800 (1400) Seq(363)
[SEND DATA] 508200 (1400) Seq(364)
[SEND DATA] 509600 (1400) Seq(365)
[SEND DATA] 511000 (1400) Seq(366)
[SEND DATA] 512400 (1400) Seq(367)
[SEND DATA] 513800 (1400) Seq(368)
[SEND DATA] 515200 (1400) Seq(369)
[SEND DATA] 516600 (1400) Seq(370)
[SEND DATA] 518000 (1400) Seq(371)
[SEND DATA] 519400 (1400) Seq(372)
[SEND DATA] 520800 (1400) Seq(373)
[SEND DATA] 522200 (1400) Seq(374)
[SEND DATA] 523600 (1400) Seq(375)
[SEND DATA] 525000 (1400) Seq(376)
[SEND DATA] 526400 (1400) Seq(377)
[SEND DATA] 527800 (1400) Seq(378)
[SEND DATA] 529200 (1400) Seq(379)
[SEND DATA] 530600 (1400) Seq(380)
[SEND DATA] 532000 (1400) Seq(381)
[SEND DATA] 533400 (1400) Seq(382)
[SEND DATA] 534800 (1400) Seq(383)
[SEND DATA] 536200 (1400) Seq(384)
[SEND DATA] 537600 (1400) Seq(385)
[SEND DATA] 539000 (1400) Seq(386)
[SEND DATA] 540400 (1400) Seq(387)
[SEND DATA] 541800 (1400) Seq(388)
[SEND DATA] 543200 (1400) Seq(389)
[SEND DATA] 544600 (1400) Seq(390)
[SEND DATA] 546000 (1400) Seq(391)
[SEND DATA] 547400 (1400) Seq(392)
[SEND DATA] 548800 (1400) Seq(393)
[SEND DATA] 550200 (1400) Seq(394)
[SEND DATA] 551600 (1400) Seq(395)
[SEND DATA] 553000 (1400) Seq(396)
[SEND DATA] 554400 (1400) Seq(397)
[SEND DATA] 555800 (1400) Seq(398)
[SEND DATA] 557200 (1400) Seq(399)
[SEND DATA] 558600 (1400) Seq(400)
[SEND DATA] 560000 (1400) Seq(401)
[SEND DATA] 561400 (1400) Seq(402)
[SEND DATA] 562800 (1400) Seq(403)
[SEND DATA] 564200 (1400) Seq(404)
[SEND DATA] 565600 (1400) Seq(405)
[SEND DATA] 567000 (1400) Seq(406)
[SEND DATA] 568400 (1400) Seq(407)
[SEND DATA] 569800 (1400) Seq(408)
[SEND DATA] 571200 (1400) Seq(409)
[SEND DATA] 572600 (1400) Seq(410)
[SEND DATA] 574000 (1400) Seq(411)
[SEND DATA] 575400 (1400) Seq(412)
[SEND DATA] 576800 (1400) Seq(413)
[SEND DATA] 578200 (1400) Seq(414)
[SEND DATA] 579600 (1400) Seq(415)
[SEND DATA] 581000 (1400) Seq(416)
[SEND DATA] 582400 (1400) Seq(417)
[SEND DATA] 583800 (1400) Seq(418)
[SEND DATA] 585200 (1400) Seq(419)
[SEND DATA] 586600 (1400) Seq(420)
[SEND DATA] 588000 (1400) Seq(421)
[SEND DATA] 589400 (1400) Seq(422)
[SEND DATA] 590800 (1400) Seq(423)
[SEND DATA] 592200 (1400) Seq(424)
[SEND DATA] 593600 (1400) Seq(425)
[SEND DATA] 595000 (1400) Seq(426)
[SEND DATA] 596400 (1400) Seq(427)
[SEND DATA] 597800 (1400) Seq(428)
[SEND DATA] 599200 (1400) Seq(429)
[SEND DATA] 600600 (1400) Seq(430)
[SEND DATA] 602000 (1400) Seq(431)
[SEND DATA] 603400 (1400) Seq(432)
[SEND DATA] 604800 (1400) Seq(433)
[SEND DATA] 606200 (1400) Seq(434)
[SEND DATA] 607600 (1400) Seq(435)
[SEND DATA] 609000 (1400) Seq(436)
[SEND DATA] 610400 (1400) Seq(437)
[SEND DATA] 611800 (1400) Seq(438)
[SEND DATA] 613200 (1400) Seq(439)
[SEND DATA] 614600 (1400) Seq(440)
[SEND DATA] 616000 (1400) Seq(441)
[SEND DATA] 617400 (1400) Seq(442)
[SEND DATA] 618800 (1400) Seq(443)
[SEND DATA] 620200 (1400) Seq(444)
[SEND DATA] 621600 (1400) Seq(445)
[SEND DATA] 623000 (1400) Seq(446)
[SEND DATA] 624400 (1400) Seq(447)
[SEND DATA] 625800 (1400) Seq(448)
[SEND DATA] 627200 (1400) Seq(449)
[SEND DATA] 628600 (1400) Seq(450)
[SEND DATA] 630000 (1400) Seq(451)
[SEND DATA] 631400 (1400) Seq(452)
[SEND DATA] 632800 (1400) Seq(453)
[SEND DATA] 634200 (1400) Seq(454)
[SEND DATA] 635600 (1400) Seq(455)
[SEND DATA] 637000 (1400) Seq(456)
[SEND DATA] 638400 (1400) Seq(457)
[SEND DATA] 639800 (1400) Seq(458)
[SEND DATA] 641200 (1400) Seq(459)
[SEND DATA] 642600 (1400) Seq(460)
[SEND DATA] 644000 (1400) Seq(461)
[SEND DATA] 645400 (1400) Seq(462)
[SEND DATA] 646800 (1400) Seq(463)
[SEND DATA] 648200 (1400) Seq(464)
[SEND DATA] 649600 (1400) Seq(465)
[SEND DATA] 651000 (1400) Seq(466)
[SEND DATA] 652400 (1400) Seq(467)
[SEND DATA] 653800 (1400) Seq(468)
[SEND DATA] 655200 (1400) Seq(469)
[SEND DATA] 656600 (1400) Seq(470)
[SEND DATA] 658000 (1400) Seq(471)
[SEND DATA] 659400 (1400) Seq(472)
[SEND DATA] 660800 (1400) Seq(473)
[SEND DATA] 662200 (1400) Seq(474)
[SEND DATA] 663600 (1400) Seq(475)
[SEND DATA] 665000 (1400) Seq(476)
[SEND DATA] 666400 (1400) Seq(477)
[SEND DATA] 667800 (1400) Seq(478)
[SEND DATA] 669200 (1400) Seq(479)
[SEND DATA] 670600 (1400) Seq(480)
[SEND DATA] 672000 (1400) Seq(481)
[SEND DATA] 673400 (1400) Seq(482)
[SEND DATA] 674800 (1400) Seq(483)
[SEND DATA] 676200 (1400) Seq(484)
[SEND DATA] 677600 (1400) Seq(485)
[SEND DATA] 679000 (1400) Seq(486)
[SEND DATA] 680400 (1400) Seq(487)
[SEND DATA] 681800 (1400) Seq(488)
[SEND DATA] 683200 (1400) Seq(489)
[SEND DATA] 684600 (1400) Seq(490)
[SEND DATA] 686000 (1400) Seq(491)
[SEND DATA] 687400 (1400) Seq(492)
[SEND DATA] 688800 (1400) Seq(493)
[SEND DATA] 690200 (1400) Seq(494)
[SEND DATA] 691600 (1400) Seq(495)
[SEND DATA] 693000 (1400) Seq(496)
[SEND DATA] 694400 (1400) Seq(497)
[SEND DATA] 695800 (1400) Seq(498)
[SEND DATA] 697200 (1400) Seq(499)
[SEND DATA] 698600 (1400) Seq(500)
[SEND DATA] 700000 (1400) Seq(501)
[SEND DATA] 701400 (1400) Seq(502)
[SEND DATA] 702800 (1400) Seq(503)
[SEND DATA] 704200 (1400) Seq(504)
[SEND DATA] 705600 (1400) Seq(505)
[SEND DATA] 707000 (1400) Seq(506)
[SEND DATA] 708400 (1400) Seq(507)
[SEND DATA] 709800 (1400) Seq(508)
[SEND DATA] 711200 (1400) Seq(509)
[SEND DATA] 712600 (1400) Seq(510)
[SEND DATA] 714000 (1400) Seq(511)
[SEND DATA] 715400 (1400) Seq(512)
[SEND DATA] 716800 (1400) Seq(513)
[SEND DATA] 718200 (1400) Seq(514)
[SEND DATA] 719600 (1400) Seq(515)
[SEND DATA] 721000 (1400) Seq(516)
[SEND DATA] 722400 (1400) Seq(517)
[SEND DATA] 723800 (1400) Seq(518)
[SEND DATA] 725200 (1400) Seq(519)
[SEND DATA] 726600 (1400) Seq(520)
[SEND DATA] 728000 (1400) Seq(521)
[SEND DATA] 729400 (1400) Seq(522)
[SEND DATA] 730800 (1400) Seq(523)
[SEND DATA] 732200 (1400) Seq(524)
[SEND DATA] 733600 (1400) Seq(525)
[SEND DATA] 735000 (1400) Seq(526)
[SEND DATA] 736400 (1400) Seq(527)
[SEND DATA] 737800 (1400) Seq(528)
[SEND DATA] 739200 (1400) Seq(529)
[SEND DATA] 740600 (1400) Seq(530)
[SEND DATA] 742000 (1400) Seq(531)
[SEND DATA] 743400 (1400) Seq(532)
[SEND DATA] 744800 (1400) Seq(533)
[SEND DATA] 746200 (1400) Seq(534)
[SEND DATA] 747600 (1400) Seq(535)
[SEND DATA] 749000 (1400) Seq(536)
[SEND DATA] 750400 (1400) Seq(537)
[SEND DATA] 751800 (1400) Seq(538)
[SEND DATA] 753200 (1400) Seq(539)
[SEND DATA] 754600 (1400) Seq(540)
[SEND DATA] 756000 (1400) Seq(541)
[SEND DATA] 757400 (1400) Seq(542)
[SEND DATA] 758800 (1400) Seq(543)
[SEND DATA] 760200 (1400) Seq(544)
[SEND DATA] 761600 (1400) Seq(545)
[SEND DATA] 763000 (1400) Seq(546)
[SEND DATA] 764400 (1400) Seq(547)
[SEND DATA] 765800 (1400) Seq(548)
[SEND DATA] 767200 (1400) Seq(549)
[SEND DATA] 768600 (1400) Seq(550)
[SEND DATA] 770000 (1400) Seq(551)
[SEND DATA] 771400 (1400) Seq(552)
[SEND DATA] 772800 (1400) Seq(553)
[SEND DATA] 774200 (1400) Seq(554)
[SEND DATA] 775600 (1400) Seq(555)
[SEND DATA] 777000 (1400) Seq(556)
[SEND DATA] 778400 (1400) Seq(557)
[SEND DATA] 779800 (1400) Seq(558)
[SEND DATA] 781200 (1400) Seq(559)
[SEND DATA] 782600 (1400) Seq(560)
[SEND DATA] 784000 (1400) Seq(561)
[SEND DATA] 785400 (1400) Seq(562)
[SEND DATA] 786800 (1400) Seq(563)
[SEND DATA] 788200 (1400) Seq(564)
[SEND DATA] 789600 (1400) Seq(565)
[SEND DATA] 791000 (1400) Seq(566)
[SEND DATA] 792400 (1400) Seq(567)
[SEND DATA] 793800 (1400) Seq(568)
[SEND DATA] 795200 (1400) Seq(569)
[SEND DATA] 796600 (1400) Seq(570)
[SEND DATA] 798000 (1400) Seq(571)
[SEND DATA] 799400 (1400) Seq(572)
[SEND DATA] 800800 (1400) Seq(573)
[SEND DATA] 802200 (1400) Seq(574)
[SEND DATA] 803600 (1400) Seq(575)
[SEND DATA] 805000 (1400) Seq(576)
[SEND DATA] 806400 (1400) Seq(577)
[SEND DATA] 807800 (1400) Seq(578)
[SEND DATA] 809200 (1400) Seq(579)
[SEND DATA] 810600 (1400) Seq(580)
[SEND DATA] 812000 (1400) Seq(581)
[SEND DATA] 813400 (1400) Seq(582)
[SEND DATA] 814800 (1400) Seq(583)
